Date,Close,High,Low,Open,Volume
2025-05-02 00:00:00,12.979999542236328,13.199999809265137,11.84000015258789,12.0,67200.0
2025-05-05 00:00:00,11.739999771118164,12.840999603271484,11.149999618530273,12.550000190734863,105600.0
2025-05-06 00:00:00,10.90999984741211,12.09000015258789,10.621999740600586,11.75,87700.0
2025-05-07 00:00:00,11.0,11.314000129699707,10.609999656677246,10.829999923706055,60900.0
2025-05-08 00:00:00,8.694999694824219,10.520000457763672,8.579999923706055,9.350000381469727,81400.0
2025-05-09 00:00:00,8.510000228881836,9.359999656677246,8.343000411987305,9.359999656677246,72300.0
2025-05-12 00:00:00,7.769999980926514,8.932000160217285,7.550000190734863,8.510000228881836,125500.0
2025-05-13 00:00:00,6.599999904632568,8.109999656677246,6.520999908447266,8.109999656677246,75400.0
2025-05-14 00:00:00,6.170000076293945,6.809999942779541,5.940000057220459,6.690000057220459,56800.0
2025-05-15 00:00:00,5.5,6.449999809265137,5.300000190734863,6.449999809265137,113500.0
2025-05-16 00:00:00,5.880000114440918,6.389999866485596,5.5,5.559999942779541,122200.0
2025-05-19 00:00:00,5.760000228881836,6.900000095367432,5.650000095367432,5.900000095367432,226800.0
2025-05-20 00:00:00,5.840000152587891,6.050000190734863,5.559999942779541,5.800000190734863,116000.0
2025-05-21 00:00:00,4.260000228881836,5.329999923706055,4.110000133514404,5.300000190734863,450800.0
2025-05-22 00:00:00,4.53000020980835,4.650000095367432,4.260000228881836,4.329999923706055,70500.0
2025-05-23 00:00:00,4.489999771118164,4.670000076293945,4.293000221252441,4.519999980926514,61800.0
2025-05-27 00:00:00,4.409999847412109,4.650000095367432,4.269999980926514,4.650000095367432,69000.0
2025-05-28 00:00:00,4.519999980926514,4.550000190734863,4.309000015258789,4.400000095367432,50900.0
2025-05-29 00:00:00,4.619999885559082,4.900000095367432,4.440000057220459,4.550000190734863,95100.0
2025-05-30 00:00:00,4.400000095367432,4.619999885559082,4.260000228881836,4.619999885559082,85800.0
2025-06-02 00:00:00,4.059999942779541,4.360000133514404,4.014999866485596,4.329999923706055,59900.0
2025-06-03 00:00:00,4.170000076293945,4.349999904632568,3.950000047683716,4.099999904632568,125800.0
2025-06-04 00:00:00,4.0,4.139999866485596,3.9000000953674316,4.139999866485596,74600.0
2025-06-05 00:00:00,3.9000000953674316,4.130000114440918,3.8410000801086426,4.03000020980835,53600.0
2025-06-06 00:00:00,4.059999942779541,4.119999885559082,3.75,3.8499999046325684,65300.0
2025-06-09 00:00:00,3.799999952316284,4.071000099182129,3.7100000381469727,4.019999980926514,122700.0
2025-06-10 00:00:00,3.8299999237060547,3.890000104904175,3.740000009536743,3.799999952316284,81500.0
2025-06-11 00:00:00,3.809999942779541,3.9200000762939453,3.759999990463257,3.8499999046325684,73600.0
2025-06-12 00:00:00,3.8299999237060547,3.890000104904175,3.7690000534057617,3.8499999046325684,51200.0
2025-06-13 00:00:00,3.490000009536743,3.8299999237060547,3.490000009536743,3.7899999618530273,71700.0
2025-06-16 00:00:00,3.450000047683716,3.5799999237060547,3.390000104904175,3.5799999237060547,62600.0
2025-06-17 00:00:00,3.234999895095825,3.4690001010894775,3.0899999141693115,3.390000104904175,150800.0
2025-06-18 00:00:00,2.7799999713897705,3.2939999103546143,2.7699999809265137,3.2799999713897705,197100.0
2025-06-20 00:00:00,2.799999952316284,2.950000047683716,2.740000009536743,2.950000047683716,87100.0
2025-06-23 00:00:00,2.700000047683716,2.7899999618530273,2.6110000610351562,2.7899999618530273,46400.0
2025-06-24 00:00:00,3.049999952316284,3.299999952316284,2.7100000381469727,2.7200000286102295,107500.0
2025-06-25 00:00:00,2.9200000762939453,3.0299999713897705,2.9000000953674316,2.9600000381469727,55000.0
2025-06-26 00:00:00,2.7100000381469727,2.890000104904175,2.640000104904175,2.859999895095825,134800.0
2025-06-27 00:00:00,2.5,2.7899999618530273,2.430000066757202,2.7699999809265137,101000.0
2025-06-30 00:00:00,2.5199999809265137,2.569000005722046,2.4800000190734863,2.549999952316284,63800.0
2025-07-01 00:00:00,2.5,2.549999952316284,2.440000057220459,2.5,72600.0
2025-07-02 00:00:00,2.569999933242798,2.5999999046325684,2.5,2.5,104800.0
2025-07-03 00:00:00,2.5799999237060547,2.5999999046325684,2.5399999618530273,2.5799999237060547,17900.0
2025-07-07 00:00:00,2.5399999618530273,2.6500000953674316,2.5299999713897705,2.5999999046325684,64800.0
2025-07-08 00:00:00,2.609999895095825,2.630000114440918,2.5399999618530273,2.5799999237060547,45000.0
2025-07-09 00:00:00,2.630000114440918,2.6500000953674316,2.569999933242798,2.5799999237060547,37100.0
2025-07-10 00:00:00,2.630000114440918,2.7200000286102295,2.5799999237060547,2.630000114440918,84200.0
2025-07-11 00:00:00,2.700000047683716,2.7899999618530273,2.5799999237060547,2.5899999141693115,177300.0
2025-07-14 00:00:00,2.390000104904175,2.75,2.2799999713897705,2.75,331500.0
2025-07-15 00:00:00,2.4000000953674316,2.4570000171661377,2.380000114440918,2.4100000858306885,50400.0
2025-07-16 00:00:00,2.440000057220459,2.509999990463257,2.4000000953674316,2.4000000953674316,114600.0
2025-07-17 00:00:00,2.319999933242798,2.509999990463257,2.299999952316284,2.4700000286102295,131400.0
2025-07-18 00:00:00,2.319999933242798,2.3489999771118164,2.2699999809265137,2.3399999141693115,116500.0
2025-07-21 00:00:00,2.4100000858306885,2.440000057220459,2.3299999237060547,2.369999885559082,165500.0
2025-07-22 00:00:00,2.4000000953674316,2.440000057220459,2.319999933242798,2.390000104904175,78000.0
2025-07-23 00:00:00,2.380000114440918,2.430000066757202,2.3299999237060547,2.4000000953674316,78600.0
2025-07-24 00:00:00,2.309999942779541,2.4000000953674316,2.2799999713897705,2.380000114440918,62700.0
2025-07-25 00:00:00,2.240000009536743,2.299999952316284,2.190000057220459,2.299999952316284,89900.0
2025-07-28 00:00:00,2.25,2.2699999809265137,2.2100000381469727,2.259999990463257,52900.0
2025-07-29 00:00:00,2.190000057220459,2.25,2.180000066757202,2.2300000190734863,100400.0
2025-07-30 00:00:00,2.140000104904175,2.190000057220459,2.109999895095825,2.190000057220459,62200.0
2025-07-31 00:00:00,2.0399999618530273,2.0999999046325684,2.009999990463257,2.0799999237060547,68100.0
2025-08-01 00:00:00,1.9800000190734863,2.009999990463257,1.9299999475479126,2.0,41200.0
2025-08-04 00:00:00,2.1500000953674316,2.1670000553131104,1.9600000381469727,1.9600000381469727,56800.0
2025-08-05 00:00:00,2.2300000190734863,2.259999990463257,2.119999885559082,2.1700000762939453,64200.0
2025-08-06 00:00:00,2.2249999046325684,2.3299999237060547,2.200000047683716,2.240000009536743,48900.0
2025-08-07 00:00:00,2.0999999046325684,2.25,2.049999952316284,2.25,39900.0
2025-08-08 00:00:00,2.140000104904175,2.1989998817443848,2.0199999809265137,2.0999999046325684,50100.0
2025-08-11 00:00:00,2.1700000762939453,2.1700000762939453,2.0999999046325684,2.1600000858306885,43700.0
2025-08-12 00:00:00,2.3499999046325684,2.6500000953674316,2.1589999198913574,2.1700000762939453,265100.0
2025-08-13 00:00:00,2.5899999141693115,2.5999999046325684,2.319999933242798,2.450000047683716,152300.0
2025-08-14 00:00:00,2.069999933242798,2.309999942779541,2.059999942779541,2.309999942779541,272600.0
2025-08-15 00:00:00,2.0999999046325684,2.119999885559082,2.0199999809265137,2.119999885559082,111200.0
2025-08-18 00:00:00,2.069999933242798,2.109999895095825,2.0199999809265137,2.109999895095825,45200.0
2025-08-19 00:00:00,1.9199999570846558,2.0999999046325684,1.8700000047683716,2.049999952316284,184300.0
2025-08-20 00:00:00,1.8700000047683716,2.0230000019073486,1.8200000524520874,2.0,108300.0
2025-08-21 00:00:00,1.8200000524520874,1.8799999952316284,1.7899999618530273,1.8600000143051147,103400.0
2025-08-22 00:00:00,1.7999999523162842,1.850000023841858,1.7799999713897705,1.850000023841858,130900.0
2025-08-25 00:00:00,1.7899999618530273,1.850000023841858,1.7599999904632568,1.840000033378601,114100.0
2025-08-26 00:00:00,1.7599999904632568,1.8339999914169312,1.7300000190734863,1.8300000429153442,56400.0
2025-08-27 00:00:00,1.7699999809265137,1.809999942779541,1.7400000095367432,1.7899999618530273,47700.0
2025-08-28 00:00:00,1.600000023841858,1.8489999771118164,1.5950000286102295,1.7899999618530273,799400.0
2025-08-29 00:00:00,1.6299999952316284,1.6799999475479126,1.5700000524520874,1.6799999475479126,104200.0
2025-09-02 00:00:00,1.6699999570846558,1.7000000476837158,1.6399999856948853,1.6699999570846558,120400.0
2025-09-03 00:00:00,1.6799999475479126,1.690000057220459,1.649999976158142,1.659999966621399,45200.0
2025-09-04 00:00:00,1.649999976158142,1.690000057220459,1.600000023841858,1.6799999475479126,60600.0
2025-09-05 00:00:00,1.7699999809265137,1.7799999713897705,1.6510000228881836,1.659999966621399,128700.0
2025-09-08 00:00:00,1.9800000190734863,2.0,1.7999999523162842,1.809999942779541,288400.0
2025-09-09 00:00:00,1.9299999475479126,1.9730000495910645,1.8949999809265137,1.9700000286102295,83300.0
2025-09-10 00:00:00,2.069999933242798,2.1600000858306885,1.9450000524520874,1.9500000476837158,213000.0
2025-09-11 00:00:00,2.0299999713897705,2.11899995803833,1.9600000381469727,2.059999942779541,67500.0
2025-09-12 00:00:00,1.9600000381469727,2.0,1.8799999952316284,2.0,99600.0
