Date,Close,High,Low,Open,Volume,"('Close', 'CETX')","('High', 'CETX')","('Low', 'CETX')","('Open', 'CETX')","('Volume', 'CETX')"
2025-05-01,20.700000762939453,20.850000381469727,19.545000076293945,19.545000076293945,1313.0,,,,,
2025-05-02,21.600000381469727,22.200000762939453,20.25,20.700000762939453,3040.0,,,,,
2025-05-05,21.600000381469727,22.350000381469727,20.549999237060547,22.049999237060547,2347.0,,,,,
2025-05-06,24.600000381469727,24.600000381469727,21.450000762939453,21.450000762939453,4620.0,,,,,
2025-05-07,22.049999237060547,25.545000076293945,21.75,23.850000381469727,7980.0,,,,,
2025-05-08,23.25,24.0,22.03499984741211,23.25,1900.0,,,,,
2025-05-09,23.399999618530277,23.834999084472656,22.665000915527344,23.399999618530277,1167.0,,,,,
2025-05-12,22.649999618530277,25.200000762939453,22.5,25.200000762939453,3320.0,,,,,
2025-05-13,25.649999618530277,28.350000381469727,22.5,22.649999618530277,19927.0,,,,,
2025-05-14,25.799999237060547,30.0,24.600000381469727,26.850000381469727,10713.0,,,,,
2025-05-15,28.799999237060547,30.899999618530277,24.0,30.149999618530277,164580.0,,,,,
2025-05-16,36.45000076293945,38.84999847412109,27.450000762939453,27.899999618530277,55493.0,,,,,
2025-05-19,30.75,36.75,30.600000381469727,36.75,18460.0,,,,,
2025-05-20,30.149999618530277,31.5,28.799999237060547,30.149999618530277,9160.0,,,,,
2025-05-21,28.5,30.450000762939453,28.350000381469727,30.450000762939453,4427.0,,,,,
2025-05-22,25.875,28.350000381469727,25.799999237060547,28.350000381469727,5487.0,,,,,
2025-05-23,25.274999618530277,26.399999618530277,24.75,25.049999237060547,5093.0,,,,,
2025-05-27,25.350000381469727,42.59999847412109,24.450000762939453,26.25,715613.0,,,,,
2025-05-28,12.989999771118164,14.399999618530272,12.914999961853027,14.399999618530272,196133.0,,,,,
2025-05-29,13.69499969482422,13.8149995803833,13.050000190734863,13.78499984741211,44073.0,,,,,
2025-05-30,13.710000038146973,15.75,12.75,13.5,87140.0,,,,,
2025-06-02,15.0,15.899999618530272,13.725000381469728,14.100000381469728,37313.0,,,,,
2025-06-03,15.449999809265137,15.75,14.550000190734863,15.600000381469728,20527.0,,,,,
2025-06-04,14.954999923706056,15.600000381469728,14.399999618530272,15.449999809265137,13500.0,,,,,
2025-06-05,13.949999809265137,14.970000267028809,13.5,14.550000190734863,17307.0,,,,,
2025-06-06,13.800000190734863,14.024999618530272,12.899999618530272,13.949999809265137,12293.0,,,,,
2025-06-09,14.3100004196167,14.880000114440918,13.96500015258789,14.324999809265137,17713.0,,,,,
2025-06-10,14.550000190734863,14.550000190734863,13.649999618530272,14.25,18647.0,,,,,
2025-06-11,14.850000381469728,15.300000190734863,14.145000457763672,14.354999542236328,14947.0,,,,,
2025-06-12,15.300000190734863,17.25,14.90999984741211,16.799999237060547,147080.0,,,,,
2025-06-13,15.449999809265137,20.100000381469727,14.699999809265137,14.850000381469728,254393.0,,,,,
2025-06-16,15.300000190734863,16.049999237060547,15.0,15.300000190734863,21780.0,,,,,
2025-06-17,15.75,16.350000381469727,15.300000190734863,15.300000190734863,25400.0,,,,,
2025-06-18,15.300000190734863,15.84000015258789,15.0,15.600000381469728,11660.0,,,,,
2025-06-20,15.600000381469728,15.75,15.074999809265137,15.300000190734863,11853.0,,,,,
2025-06-23,15.149999618530272,15.899999618530272,15.0,15.600000381469728,11007.0,,,,,
2025-06-24,14.970000267028809,15.149999618530272,14.324999809265137,15.149999618530272,12713.0,,,,,
2025-06-25,15.149999618530272,21.56999969482422,15.0,15.149999618530272,641673.0,,,,,
2025-06-26,15.75,16.350000381469727,14.550000190734863,15.149999618530272,49053.0,,,,,
2025-06-27,16.049999237060547,16.350000381469727,15.149999618530272,15.600000381469728,27453.0,,,,,
2025-06-30,16.5,17.549999237060547,15.899999618530272,16.350000381469727,30480.0,,,,,
2025-07-01,17.100000381469727,17.25,16.200000762939453,16.649999618530273,13953.0,,,,,
2025-07-02,18.299999237060547,20.549999237060547,17.024999618530273,17.100000381469727,195233.0,,,,,
2025-07-03,18.450000762939453,19.200000762939453,16.049999237060547,19.049999237060547,59893.0,,,,,
2025-07-07,19.5,20.100000381469727,17.399999618530273,18.75,50707.0,,,,,
2025-07-08,19.799999237060547,20.100000381469727,18.450000762939453,19.799999237060547,52653.0,,,,,
2025-07-09,19.200000762939453,19.799999237060547,18.0,19.799999237060547,46967.0,,,,,
2025-07-10,19.200000762939453,20.96999931335449,19.200000762939453,19.950000762939453,76100.0,,,,,
2025-07-11,19.350000381469727,19.649999618530277,18.600000381469727,18.899999618530277,29053.0,,,,,
2025-07-14,18.450000762939453,19.5,18.299999237060547,19.049999237060547,27567.0,,,,,
2025-07-15,19.950000762939453,20.399999618530277,18.149999618530277,18.600000381469727,42160.0,,,,,
2025-07-16,19.950000762939453,20.399999618530277,18.76499938964844,19.649999618530277,23773.0,,,,,
2025-07-17,20.25,21.600000381469727,19.950000762939453,20.100000381469727,38173.0,,,,,
2025-07-18,19.5,21.299999237060547,19.049999237060547,20.399999618530277,34013.0,,,,,
2025-07-21,18.299999237060547,20.25,18.149999618530277,20.25,27787.0,,,,,
2025-07-22,18.75,18.975000381469727,17.549999237060547,18.75,24833.0,,,,,
2025-07-23,19.799999237060547,20.25,18.614999771118164,18.899999618530277,23180.0,,,,,
2025-07-24,18.75,19.799999237060547,18.600000381469727,19.649999618530277,14440.0,,,,,
2025-07-25,18.899999618530277,19.5,18.299999237060547,18.899999618530277,9567.0,,,,,
2025-07-28,19.049999237060547,19.350000381469727,18.299999237060547,19.350000381469727,10347.0,,,,,
2025-07-29,19.200000762939453,19.350000381469727,18.65999984741211,18.899999618530277,23027.0,,,,,
2025-07-30,19.350000381469727,20.100000381469727,18.899999618530277,19.200000762939453,18553.0,,,,,
2025-07-31,19.5,19.799999237060547,18.899999618530277,19.350000381469727,249033.0,,,,,
2025-08-01,17.399999618530273,21.450000762939453,16.649999618530273,21.149999618530277,221667.0,,,,,
2025-08-04,18.75,19.200000762939453,18.0,18.149999618530277,57647.0,,,,,
2025-08-05,19.5,21.600000381469727,19.049999237060547,20.25,168993.0,,,,,
2025-08-06,19.649999618530277,20.25,17.850000381469727,19.950000762939453,73600.0,,,,,
2025-08-07,19.649999618530277,19.799999237060547,18.600000381469727,19.649999618530277,55007.0,,,,,
2025-08-08,18.899999618530277,19.5,18.450000762939453,19.350000381469727,39520.0,,,,,
2025-08-11,18.899999618530277,19.5,18.600000381469727,19.200000762939453,21573.0,,,,,
2025-08-12,19.5,20.489999771118164,18.899999618530277,19.350000381469727,52620.0,,,,,
2025-08-13,19.649999618530277,22.049999237060547,18.899999618530277,20.549999237060547,140027.0,,,,,
2025-08-14,20.100000381469727,20.25,18.75,19.5,73413.0,,,,,
2025-08-15,19.049999237060547,21.75,18.600000381469727,21.75,127600.0,,,,,
2025-08-18,18.075000762939453,19.950000762939453,17.700000762939453,19.350000381469727,114413.0,,,,,
2025-08-19,18.450000762939453,19.200000762939453,18.0,18.450000762939453,55380.0,,,,,
2025-08-20,17.850000381469727,18.149999618530277,16.799999237060547,18.149999618530277,39693.0,,,,,
2025-08-21,18.0,18.165000915527344,17.309999465942383,17.399999618530273,20313.0,,,,,
2025-08-22,17.700000762939453,18.299999237060547,17.100000381469727,17.549999237060547,33793.0,,,,,
2025-08-25,19.049999237060547,19.799999237060547,18.450000762939453,19.5,206047.0,,,,,
2025-08-26,18.899999618530277,20.100000381469727,18.600000381469727,19.334999084472656,74387.0,,,,,
2025-08-27,18.299999237060547,18.899999618530277,18.149999618530277,18.75,32993.0,,,,,
2025-08-28,17.549999237060547,18.405000686645508,16.96500015258789,18.299999237060547,70720.0,,,,,
2025-08-29,16.950000762939453,17.549999237060547,16.799999237060547,17.549999237060547,49180.0,,,,,
2025-09-02,15.600000381469728,16.799999237060547,15.149999618530272,16.799999237060547,70873.0,,,,,
2025-09-03,15.149999618530272,16.200000762939453,15.0,15.449999809265137,75753.0,,,,,
2025-09-04,13.4399995803833,15.0,13.050000190734863,14.850000381469728,109553.0,,,,,
2025-09-05,13.425000190734863,13.68000030517578,13.0649995803833,13.229999542236328,34887.0,,,,,
2025-09-08,12.4350004196167,13.095000267028809,12.0,12.75,72847.0,,,,,
2025-09-09,12.375,13.31999969482422,12.0,12.449999809265137,45653.0,,,,,
2025-09-10,11.984999656677246,13.770000457763672,11.399999618530272,12.600000381469728,116080.0,,,,,
2025-09-11,12.210000038146973,12.585000038146973,11.414999961853027,11.984999656677246,41620.0,,,,,
2025-09-12,11.699999809265137,12.104999542236328,11.414999961853027,12.104999542236328,48547.0,,,,,
2025-09-15,10.4399995803833,11.699999809265137,10.350000381469728,11.699999809265137,100280.0,,,,,
2025-09-16,9.6899995803833,10.5600004196167,9.449999809265137,10.5,78433.0,,,,,
2025-09-17,9.404999732971191,9.869999885559082,9.0,9.75,78200.0,,,,,
2025-09-18,9.854999542236328,10.020000457763672,9.09000015258789,9.239999771118164,109953.0,,,,,
2025-09-19,9.94499969482422,10.425000190734863,9.524999618530272,9.899999618530272,65667.0,,,,,
2025-09-22,9.4350004196167,10.949999809265137,9.375,10.050000190734863,175753.0,,,,,
2025-09-23,9.510000228881836,9.975000381469728,9.375,9.645000457763672,71527.0,,,,,
2025-09-24,9.420000076293944,9.56999969482422,9.149999618530272,9.449999809265137,183327.0,,,,,
2025-09-25,6.224999904632568,6.75,6.0,6.449999809265137,291713.0,,,,,
2025-09-26,5.849999904632568,6.045000076293945,5.579999923706055,6.014999866485596,117753.0,,,,,
2025-09-29,5.519999980926514,6.186999797821045,4.809999942779541,5.849999904632568,359000.0,,,,,
2025-09-30,5.659999847412109,5.8480000495910645,5.21999979019165,5.610000133514404,148800.0,,,,,
2025-10-01,5.769999980926514,6.078000068664551,5.289999961853027,5.630000114440918,128500.0,,,,,
2025-10-02,5.289999961853027,5.840000152587891,5.199999809265137,5.840000152587891,191200.0,,,,,
2025-10-03,5.130000114440918,5.400000095367432,5.03000020980835,5.360000133514404,148700.0,,,,,
2025-10-06,5.510000228881836,5.554999828338623,5.150000095367432,5.320000171661377,173900.0,,,,,
2025-10-07,4.989999771118164,5.449999809265137,4.96999979019165,5.449999809265137,181700.0,,,,,
2025-10-08,5.610000133514404,5.670000076293945,4.949999809265137,4.989999771118164,352600.0,,,,,
2025-10-09,5.619999885559082,5.619999885559082,5.309999942779541,5.409999847412109,157800.0,,,,,
2025-10-10,5.210000038146973,5.610000133514404,5.050000190734863,5.610000133514404,175600.0,,,,,
2025-10-13,5.300000190734863,5.468999862670898,5.010000228881836,5.090000152587891,112600.0,,,,,
2025-10-14,6.21999979019165,6.300000190734863,5.210000038146973,5.369999885559082,624900.0,,,,,
2025-10-15,5.670000076293945,6.260000228881836,5.599999904632568,6.239999771118164,206000.0,,,,,
2025-10-16,5.320000171661377,5.710000038146973,5.269999980926514,5.679999828338623,151300.0,,,,,
2025-10-17,5.199999809265137,5.28000020980835,4.900000095367432,5.199999809265137,114800.0,,,,,
2025-10-20,,,,,,5.989999771118164,6.199999809265137,5.329999923706055,5.400000095367432,358400.0
2025-10-21,,,,,,5.800000190734863,6.199999809265137,5.690000057220459,6.059999942779541,156000.0
2025-10-22,,,,,,5.369999885559082,5.711999893188477,5.329999923706055,5.710000038146973,126100.0
2025-10-23,,,,,,5.349999904632568,5.533999919891357,5.210000038146973,5.489999771118164,83600.0
